辣警霸王花,六名警校女菜鸟在一场淘汰赛测试中因事态超出控制拒绝服从命令而失去了进入精英团队的资格，在她们心灰意冷离开警校时，一位神秘长官突然出现，通知她们正式成为“霸王花”团队——二十五年前因任务失败而惨遭解散的组织，目前正在寻求新鲜力量重振雄风。交给她们的第一个任务就是抓住臭名昭著外号“总统”的恐怖分子，此人也是导致“霸王花”组织25年前解散的罪魁祸首。他掳走韩国的细菌专家，研究出一个透过人体高效传播的新型病毒。看似危险重重可急切想成为真正警察的六名姑娘还是毫不犹豫的接受了这一场不知生死的任务……,"喜剧,动作"
脱单宝典,在一个不入流的时尚杂志社，杂志销量锐减，公司面临被收购的风险。资（diao）深（si）设计责编晓新和策划波波提出改善建议，没想到却被新来的项目策划辰天桥全盘推翻。更可气的是辰天桥竟然成功勾搭两人的女神广告总监资姐。于是两人展开除奸行动，策划三流模特小甜甜与不知名演员学生妹勾搭辰天桥，然而行动却屡屡露馅，不得已两人开启了自己的犯贱之旅.......,"喜剧,爱情"
比利·林恩的中场战事,根据本·芳汀同名小说改编，讲述一位年轻士兵在伊拉克战争中与战友凯旋归来并被誉为美国英雄，借由一场感恩节橄榄球公开赛的中场表演，揭露这群士兵在战场上真实经历的故事。19岁的德州士兵比利·林恩（乔·阿尔文 饰），他在加入美军步兵部队后，被派往伊拉克战场，与其他七名的突击小队成员，在伊拉克与当地反对武装进行了3分43秒的激战，他和战友们在一次交火中大难不死、逃过一劫。机缘巧合成为伊拉克战争中的国家英雄，被邀请至感恩节全美橄榄球比赛的中场休息时亮相。而在此期间的一连串遭遇则使他逐步意识到关于战争的实质与国家的真相......,"剧情,战争,历史"
邻家大贱谍,影片讲述了一对正面临着婚姻乏味期的夫妻无意间卷入了一场惊心动魄的危机，而不得不化身临时特工与间谍邻居联手对敌的故事。MBI公司人力部门员工杰夫（扎克·加利费安纳基斯 饰）与妻子凯伦（艾拉·菲舍尔 饰）在城郊过着平淡无奇索然无味的生活。某一天，一对颜值超高、身材超辣、时尚感爆棚的夫妻蒂姆（乔·哈姆 饰）与娜塔莉（盖尔·加朵 饰）新搬到了他们对面，这让暗暗称羡的他们感到不安。通过一系列摸底调查，他们发现蒂姆夫妇竟然实际上是秘密特工，且接近杰夫还另有所图。杰夫和凯伦这对普通的夫妻也随之卷入了一场惊心动魄的危机中，为化解这场危机，他们不得不化身“临时特工”与蒂姆夫妇联手对敌，踏上了一场惊险刺激又笑料百出的动作之旅。,"剧情,喜剧,动作"
聊斋新编之画皮新娘,《聊斋新编之画皮新娘》是忠实原著的一次改编，将真实再现《聊斋志异》中百鬼夜行，千妖祸乱的鬼魅世界，为观众呈现一部“东方魔幻惊悚风”的恐怖电影。,"爱情,惊悚,悬疑"
减法人生,闫丹失业失恋，遇见蛋糕店老板关晓康伸出援手收留了她。关晓康和音乐才子老马一起惨淡经营的这家蛋糕店如果不能按时交上房租也将被迫关门。房东突然涨价让他们原本就紧迫的房租压力变得更大。三个人努力争取扛过这个艰难时刻，生意似乎渐渐起色。关晓康终于凑齐了房租，房东却宣布这个房子要租给更知名的大品牌，蛋糕店被迫关门。三个人不得不硬着头皮又一次开始新的生活，而这时候的闫丹在困难面前渐渐的学会了面对。闫丹为自己争取到了新工作的机会，决定为自己争取爱情，主动约关晓康生日见面。却因为关晓康手机被偷使闫丹误会。闫丹跟自己爱情告别的方式是选择跑一场马拉松。 经过一次次的咬牙坚持，闫丹明白了:”在困难面前，你可以选择放弃，也可以选择面对和挑战自己。”跑完人生的第一个半程马拉松之后的闫丹对自己说：我不怕输了。,"剧情,喜剧,爱情"
捉迷藏之生人勿近,影片讲述了女大学生苏菲刚大学毕业未婚先孕，男友却不敢承担责任，于是她就赌气来到一个郊区别墅打临时工，照顾小男孩辉辉。辉辉父母出远门了，留他一个人在家。辉辉性格孤僻，很喜欢玩捉迷藏。苏菲就和辉辉一起玩捉迷藏游戏来交流，慢慢地，苏菲发现，参加这个游戏的，不仅仅是他们两个人……,惊悚
生死96小时,某部红军侦察连长赵勇率24名红军分队，为红军大部队绕过贵阳，过夷地，向安顺挺进开辟道路。红军小分队按预定路线穿插，路遇山匪。一路上，拔掉游龙经营的据点，进入云鹜山中，破埋伏，突袭龙宫庵，抓获女特派员，而女特派员竟然是赵勇苦苦寻找10多年的云姑……赵勇等红军战士经过96小时生死相拼，终于杀出一条血路，准时到达指定地点，迎接大部队的到来……,剧情
最后证言,一名男孩突然被人拐走丢失，警方接到报警后火速出击，根据一封举报信的线索，循线追查，很快将丢失的男孩找回。但是拐卖孩子的犯罪嫌疑人却没有落网。刑警队长徐昊带领侦查员深入调查走访，顺着蛛丝马迹层层剥丝抽茧，一个隐藏很深的重大犯罪线索渐渐浮出水面……,剧情
我是处女座,这是一个女孩寻求真爱的故事，这是一个在生活观念改变了的环境里，一个女孩找寻自我的故事。这是一个处女通过寻求人生出口的奇遇故事。幸运的是在经历一番人生救赎中她最终找到了自己。,爱情
